date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2020-06-21,-2.5,173.7,557005500,2.9266,2.5091
2020-06-21,-2.5,173.8,557005500,8.6741,4.6377
2020-06-21,-2.5,-87.8,735057530,0.6413,0
2020-06-21,-2.5,-85.8,735058843,0.0633,0
2020-06-21,-2.5,-85.9,735058843,0.4558,0
2020-06-21,-2.5,-106.1,775627000,0.2558,0
2020-06-21,3,-96.2,224050000,0.5966,0
2020-06-21,3,-96.3,224050000,0.3355,0
2020-06-21,3,-10.4,228071900,0.5013,0
2020-06-21,3,-10.5,228071900,0.1538,0
2020-06-21,3,-10.6,228071900,0.5372,0
2020-06-21,3,-6.3,312797000,0.885,0
2020-06-21,3,-6.5,312797000,0.883,0
2020-06-21,3,-6.4,312797000,0.973,0
2020-06-21,3,-2.8,359102000,1.1133,0
2020-06-21,3,-2.7,359102000,0.0486,0
2020-06-21,3,179.2,366020000,0.4369,0
2020-06-21,3,179.3,366020000,0.0424,0
2020-06-21,3,56.4,412326861,0.5608,0
2020-06-21,3,56.5,412326861,1.268,0
2020-06-21,3,154.2,412460285,0.025,0
2020-06-21,3,85.9,412549213,5.2183,5.2183
2020-06-21,3,151.7,416003869,1.778,1.778
2020-06-21,3,146.6,416004179,3.7052,3.7052
2020-06-21,3,150.3,416004583,1.8586,1.8586
2020-06-21,3,150.4,416004583,1.308,1.308
2020-06-21,3,66.7,416005374,2.4866,2.4866
2020-06-21,3,67,416005374,1.8002,1.8002
2020-06-21,3,91.5,416005571,1.8444,0
2020-06-21,3,160.3,416016600,3.7794,0
2020-06-21,3,160.6,416016600,0.7619,0
2020-06-21,3,160.4,416016600,6.3652,6.0316
2020-06-21,3,160.1,416043800,0.0583,0
2020-06-21,3,160.3,416043800,2.6713,0
2020-06-21,3,160.2,416043800,0.388,0
2020-06-21,3,-152.3,416086600,3.985,3.985
2020-06-21,3,-152.1,416086600,0.6661,0
2020-06-21,3,-152.2,416086600,0.9158,0.5163
2020-06-21,3,-152,416086600,0.7811,0
2020-06-21,3,160.1,416238800,0.4688,0
2020-06-21,3,160,416238800,0.4638,0
2020-06-21,3,160.2,416238800,0.0805,0
2020-06-21,3,161.3,416242900,1.7413,0
2020-06-21,3,162,416242900,0.4988,0
2020-06-21,3,161.1,416242900,0.4758,0
2020-06-21,3,161.9,416242900,0.0361,0
